Section ID & Heading,Recommendation / Requirement,Normative Keyword,Code,Rationale/Context,Subtheme,Theme
2.2.2.3 Supplier Name,It is necessary to capture the heritage relationship to enable proper vulnerability monitoring of the Component.,REQUIRED,Capture heritage relationship,,Dependency & Relationship Mapping,Supply Chain Relationships
2.2.2.3 Supplier Name,"The Originating Supplier, if different from the upstream Supplier, may be a beneficial Attribute to capture for the Component as well.",MAY,Record originating supplier if different,,Component Identification,Component & SBOM Attributes
2.2.2.4 Unique Identifier,Both [globally unique or locally unique identifiers] may be declared in the SBOM and provide value.,MAY,Allow global/local unique identifiers,,Unique Identifiers,Component & SBOM Attributes
2.2.2.4 Unique Identifier,Minimum Expected - at least one unique identifier should be declared for each Component listed in the SBOM.,REQUIRED,Declare at least one unique identifier,,Unique Identifiers,Component & SBOM Attributes
2.2.2.4 Unique Identifier,A globally unique identifier is preferred.,RECOMMENDED,Prefer globally unique identifier,,Unique Identifiers,Component & SBOM Attributes
2.2.2.4 Unique Identifier,Recommended Practice - list as many globally unique identifiers as available for the Component.,SHOULD,List multiple unique identifiers ,,Unique Identifiers,Component & SBOM Attributes
2.2.2.5 Cryptographic Hash,Provide a hash for any Component listed in the SBOM for which the hash was provided or sufficient information is available to generate the hash.,REQUIRED,Provide hash for components,,Cryptographic Hashes,Component & SBOM Attributes
2.2.2.5 Cryptographic Hash,"If sufficient information is not available, indicate as unknown.",REQUIRED,Indicate hash as unknown if unavailable,,Data Completeness & Transparency,Data Governance & Transparency
2.2.2.5 Cryptographic Hash,"Along with the hash, provide the hash algorithm and the Component object being hashed to enable reproducibility.",REQUIRED,Declare hash algorithm and object,,Cryptographic Hashes,Component & SBOM Attributes
2.2.2.5 Cryptographic Hash,Using a secure hash algorithm is recommended.,RECOMMENDED,Use secure hash algorithms,,Cryptographic Hashes,Component & SBOM Attributes
2.2.2.5 Cryptographic Hash,Provide at least one hash of the Primary Component at this maturity level.,SHOULD,Provide primary component hash,,Cryptographic Hashes,Component & SBOM Attributes
2.2.2.5 Cryptographic Hash,"Along with the minimally expected hash, provide the hash algorithm and the Component object being hashed to enable reproducibility.",SHOULD,Include algorithm and object details,,Cryptographic Hashes,Component & SBOM Attributes
2.2.2.5 Cryptographic Hash,"If less cryptographically secure, hashes need to be included, adding an additional cryptographically secure hash is required.",REQUIRED,Add secure hash if weak hashes used,,Cryptographic Hashes,Component & SBOM Attributes
2.2.2.6 Relationship,Relationships and relationship completeness declared for the Primary Component and direct Dependencies.,REQUIRED,Declare primary/direct relationships,,Dependency & Relationship Mapping,Supply Chain Relationships
2.2.2.6 Relationship,Relationships and relationship completeness declared for all Included Components listed in the SBOM.,SHOULD,Declare relationships for included components,,Dependency & Relationship Mapping,Supply Chain Relationships
2.2.2.6 Relationship,"Relationships and relationship completeness to as many dynamic and remote Components as possible (e.g., loaded Components or services) are identified.",MAY,Declare dynamic/remote relationships,,Dependency & Relationship Mapping,Supply Chain Relationships
2.2.2.6.2 “Included In” Relationship,"The choice of direction is not important to the model, as long as one direction is chosen and used consistently.",REQUIRED,Use consistent relationship direction,,Dependency & Relationship Mapping,Supply Chain Relationships
2.2.2.6.3 Heritage or Pedigree Relationship,It is important in this example to maintain the heritage of the modified Component and convey that it has been modified.,REQUIRED,Maintain heritage for modified components,,Dependency & Relationship Mapping,Supply Chain Relationships
2.2.2.7 License,Provide license information for the Primary Component.,REQUIRED,Provide primary component license,,Legal Information,Component & SBOM Attributes
2.2.2.7 License,"If the Component’s license is not available in a standard form, refer to the specification for the SBOM format being utilized for alternate methods for declaring the license information.",SHOULD,Use alternate license declaration methods,"If standard license identifier (e.g., SPDX) is missing, alternate methods must be used",Legal Information,Component & SBOM Attributes
2.2.2.7 License,Provide license information for as many Components as possible.,SHOULD,Provide license for as many components as possible,,Legal Information,Component & SBOM Attributes
2.2.2.7 License,Provide license information for all listed SBOM Components.,MAY,Provide license for all components,,Legal Information,Component & SBOM Attributes
2.2.2.7 License,"Attestation of Concluded License information, i.e., license text and concluded terms and conditions, is included in the SBOM.",MAY,Include concluded license text,Full license text and terms can be included for better legal clarity,Legal Information,Component & SBOM Attributes
2.2.2.8 Copyright Notice,Provide copyright notice for the Primary Component.,REQUIRED,Provide primary component copyright,,Legal Information,Component & SBOM Attributes
2.2.2.8 Copyright Notice,Provide copyright notice for as many Components as possible.,SHOULD,Provide copyright for as many components as possible,,Legal Information,Component & SBOM Attributes
2.2.2.8 Copyright Notice,Provide copyright notice for all listed SBOM Components.,MAY,Provide copyright for all components,,Legal Information,Component & SBOM Attributes
2.3 Undeclared SBOM Data,"It is expected that, if an SBOM has undeclared data, the Author continues to work to remove the barriers and reissue the SBOM with the appropriate data.",REQUIRED,Reissue SBOM when undeclared data resolved,Missing or withheld data should be addressed and a corrected SBOM issued,Lifecycle Management,SBOM Operations & Lifecycle
2.3.1 Unknown Component Attributes,SBOMs must handle cases of missing Attributes gracefully.,REQUIRED,Handle missing attributes gracefully,,Data Completeness & Transparency,Data Governance & Transparency
2.3.1 Unknown Component Attributes,"A basic recommendation is to always provide all of the Baseline Attributes but explicitly define values that differentiate between “no assertion” (i.e., data is missing) and “no value” (i.e., the Attribute is not applicable for this specific SBOM).",SHOULD,Differentiate no assertion vs no value,,Data Completeness & Transparency,Data Governance & Transparency
2.3.1 Unknown Component Attributes,"Alternatively, an SBOM format can permit missing Baseline Attributes and treat them as default values (i.e., “no assertion” or “no value”).",MAY,Allow missing attributes as defaults,,Data Completeness & Transparency,Data Governance & Transparency
2.3.1 Unknown Component Attributes,Declaring a Baseline Attribute as “no assertion” or “no value” is only used when necessary to provide an SBOM in a reasonably timely manner.,REQUIRED,Only use no assertion/value when necessary,,Data Completeness & Transparency,Data Governance & Transparency
2.3.1 Unknown Component Attributes,Declaring a Baseline Attribute as “no assertion” or “no value” is used rarely when sufficient effort matching the potential security risk of that Component is spent.,SHOULD,Limit use of no assertion/value,,Data Completeness & Transparency,Data Governance & Transparency
2.3.1 Unknown Component Attributes,"When a Baseline Attribute for a Component has been declared as “no assertion” or “no value”, it is proactively tracked as a compliance gap.",MAY,Track no assertion/value as compliance gap,,Data Completeness & Transparency,Data Governance & Transparency
2.3.2 Redacted Components,Indicate the Component as redacted and provide a redaction rationale.,RECOMMENDED,Mark redacted components with rationale,,Handling Redactions,Data Governance & Transparency
2.3.2 Redacted Components,Remove any Component identifying information but preserve the Component’s version or cryptographic hash.,RECOMMENDED,Preserve version/hash when redacting,,Handling Redactions,Data Governance & Transparency
2.3.2 Redacted Components,Maintain any of the dependency relationships to or from the redacted Component in a manner that honors the redaction.,RECOMMENDED,Preserve relationships for redacted components,,Handling Redactions,Data Governance & Transparency
2.3.2 Redacted Components,A Component’s Attributes that could identify it are redacted only when a Supplier contract requires it.,REQUIRED,Redact only if contractually required,,Handling Redactions,Data Governance & Transparency
2.3.2 Redacted Components,The contract with a Supplier of a Component that requires redaction is approached for re-negotiation of a contract that allows Supply Chain Transparency.,SHOULD,Attempt to renegotiate redaction contracts,,Supply Chain Practices,SBOM Operations & Lifecycle
2.3.2 Redacted Components,"Alternatively, a more transparent upstream Supplier is selected for future software development.",SHOULD,Prefer transparent suppliers,,Supply Chain Practices,SBOM Operations & Lifecycle
2.3.3 Unknown Dependencies,An SBOM system needs to be able to indicate that the list of Component Dependencies is incomplete.,REQUIRED,Indicate incomplete dependency lists,,Data Completeness & Transparency,Data Governance & Transparency
2.3.3 Unknown Dependencies,Every Direct Dependency to the Primary Component is identified in the SBOM with all Baseline Attributes identified (or indicated as shown in Section 2.3.1).,REQUIRED,Identify all direct dependencies,,Dependency & Relationship Mapping,Supply Chain Relationships
2.3.3 Unknown Dependencies,"Deeper Dependencies may be declared as unknown, when necessary.",MAY,Mark deeper dependencies as unknown if necessary,,Data Completeness & Transparency,Data Governance & Transparency
2.3.3 Unknown Dependencies,It is recommended to provide a rationale if Dependencies are declared as unknown.,RECOMMENDED,Give rationale for unknown dependencies,,Data Completeness & Transparency,Data Governance & Transparency
2.3.3 Unknown Dependencies,Contact the upstream Supplier for their SBOM to provide the Component data needed.,SHOULD,Obtain dependency data from upstream supplier,,Supply Chain Practices,SBOM Operations & Lifecycle
2.3.3 Unknown Dependencies,Provide this information either nested within your Primary Component’s SBOM or separately.,SHOULD,Include upstream SBOM data,,Supply Chain Practices,SBOM Operations & Lifecycle
2.3.3 Unknown Dependencies,Use tooling to produce SBOMs for upstream supplied software where an SBOM cannot be procured.,MAY,Use tooling when SBOM unavailable,,SBOM Creation & Tooling,SBOM Operations & Lifecycle
2.3.3 Unknown Dependencies,"Also, use tooling to gather data from upstream Supplier SBOMs and your organizational development to assist in producing robust SBOMs.",MAY,Use tooling for dependency discovery,,SBOM Creation & Tooling,SBOM Operations & Lifecycle
2.4 Supplemental Information to Support Use Cases,An SBOM ecosystem must support the ability to cryptographically authenticate and verify SBOM information.,REQUIRED,Support SBOM cryptographic authentication,,Assurance & Trust,SBOM Operations & Lifecycle
2.4 Supplemental Information to Support Use Cases,"In general, this means that authors must be able to digitally sign SBOMs.",REQUIRED,Authors digitally sign SBOMs,,Assurance & Trust,SBOM Operations & Lifecycle
2.4 Supplemental Information to Support Use Cases,Consumers must be able to verify signatures.,REQUIRED,Consumers verify SBOM signatures,,Assurance & Trust,SBOM Operations & Lifecycle
2.5 Mapping to Existing Formats,"In addition to the Baseline Attributes, authors should conform to the specifications of their chosen SBOM formats.",SHOULD,Conform to SBOM format specifications,,Format & Interoperability,Foundational Principles
3.1 SBOM Creation: How,The Supplier defines Components that the Supplier creates themselves.,REQUIRED,Suppliers define their own components,,SBOM Creation & Tooling,SBOM Operations & Lifecycle
3.1 SBOM Creation: How,The Supplier produces baseline and any supplemental Attributes for those Components.,REQUIRED,Suppliers produce baseline & supplemental attributes,,SBOM Creation & Tooling,SBOM Operations & Lifecycle
3.1 SBOM Creation: How,The Supplier enumerates all directly included Components.,REQUIRED,Suppliers enumerate all direct components,,SBOM Creation & Tooling,SBOM Operations & Lifecycle
3.1 SBOM Creation: How,SBOM information will ideally be generated as an integral part of the Supplier’s software build and packaging processes.,RECOMMENDED,Integrate SBOM generation into build & packaging,Automating SBOM creation reduces gaps and errors,SBOM Creation & Tooling,SBOM Operations & Lifecycle
3.1 SBOM Creation: How,"Any entity creating, modifying, packaging, and delivering software or software systems is responsible for defining Components.",REQUIRED,All entities define components,,Supply Chain Practices,SBOM Operations & Lifecycle
3.1 SBOM Creation: How,"Any entity creating, modifying, packaging, and delivering software or software systems is responsible for creating SBOMs.",REQUIRED,All entities create SBOMs,,SBOM Creation & Tooling,SBOM Operations & Lifecycle
3.1 SBOM Creation: How,"When SBOMs for Included Components are available from upstream Suppliers, those SBOMs are provided with or incorporated into the primary SBOM.",SHOULD,Include upstream SBOMs when available,,Supply Chain Practices,SBOM Operations & Lifecycle
3.1 SBOM Creation: How,"Where such information is not available, a Supplier can provide “best effort” SBOMs.",MAY,Provide best-effort SBOMs when upstream missing,,Data Completeness & Transparency,Data Governance & Transparency
3.1 SBOM Creation: How,Identity Attributes are essential for an SBOM.,REQUIRED,Identity attributes are essential,,Foundational Principles,Foundational Principles
3.2 SBOM Creation: When,An SBOM needs to be created when a Component is released.,REQUIRED,Create SBOM at release,,Lifecycle Management,SBOM Operations & Lifecycle
3.2 SBOM Creation: When,consider using the Type Attribute of SBOM to indicate the context from which the SBOM was created or assembled.,RECOMMENDED,Use Type attribute for SBOM context,,SBOM Metadata,Component & SBOM Attributes
